,Date,inf,ulc,pm,u,infx,oil
1,31/03/1964,NA,6.637306173,13.58499096,1.818261086,0.038101709,1.9339141
2,30/06/1964,NA,6.682247726,13.80235081,1.765813634,0.292904128,1.935432426
3,30/09/1964,NA,6.790492894,13.58499096,1.589103471,0.551039881,1.935606101
4,31/12/1964,NA,6.927162936,13.69367089,1.449386643,0.5958423,1.935779807
5,31/03/1965,NA,7.003914578,14.01971067,1.455526353,0.778912193,1.935953544
6,30/06/1965,NA,7.010143217,14.01971067,1.484275318,1.085315418,1.936127313
7,30/09/1965,NA,7.159368933,13.91103074,1.576952205,1.138385311,1.93617076
8,31/12/1965,NA,7.15610415,13.91103074,1.767961252,1.17812187,1.936214208
9,31/03/1966,NA,7.399305959,14.1283906,1.792158278,1.226458563,1.936257659
10,30/06/1966,NA,7.46562691,14.23707052,1.658171374,1.284795257,1.936301112
11,30/09/1966,34.31620736,7.432709507,14.01971067,1.833001208,1.346465284,1.936344567
12,31/12/1966,34.45402345,7.563818597,13.80235081,1.734487418,1.314801977,1.936388024
13,31/03/1967,34.59253209,7.522432167,14.23707052,1.828322524,1.249736117,1.936431482
14,30/06/1967,34.76532196,7.71417077,14.23707052,1.965667146,1.27800359,1.936474943
15,30/09/1967,35.00674781,7.676733686,14.56311031,1.937193682,1.269604397,1.938302052
16,31/12/1967,35.1108313,7.76428856,14.34575045,1.834067618,1.31787187,1.940132613
17,31/03/1968,35.17914031,7.723427046,14.34575045,1.849872,1.409340956,1.941966634
18,30/06/1968,35.4818289,7.916035618,14.34575045,1.902335351,1.450810042,1.943804126
19,30/09/1968,35.51706408,7.810847522,14.45443038,1.84925565,1.485612461,1.942185201
20,31/12/1968,35.74876906,8.083880652,14.01971067,1.704862884,1.620414881,1.94056897
21,31/03/1969,35.97919391,8.124255343,14.1283906,1.812960201,1.729084236,1.938955427
22,30/06/1969,36.39634398,8.250203537,14.67179024,1.761319668,1.99775359,1.937344565
23,30/09/1969,36.5575324,8.339279042,14.78047016,1.735952213,2.323089612,1.936257659
24,31/12/1969,36.75988036,8.424124586,14.56311031,1.942901467,2.438425633,1.935171972
25,31/03/1970,37.05188294,8.660457928,14.67179024,1.632495498,2.534891359,1.989827786
26,30/06/1970,37.42717826,8.669708761,15.10650995,1.67729595,3.418023752,1.998386952
27,30/09/1970,37.56735496,8.757645891,15.10650995,1.67029169,3.397822811,2.005756431
28,31/12/1970,38.13929385,9.065969598,14.88915009,1.639222922,3.34762187,2.000717746
29,31/03/1971,38.65096653,9.539823676,15.3238698,1.743874797,3.347288537,2.176423559
30,30/06/1971,39.31857413,9.760644214,16.19330922,1.884844359,3.326955203,2.804216909
31,30/09/1971,39.74846603,9.742522964,16.41066908,1.909481364,3.289955203,2.964170661
32,31/12/1971,40.47597539,9.80868696,17.2801085,2.156170471,2.84962187,2.859832583
33,31/03/1972,40.75007906,10.24393126,17.06274864,2.448976284,2.43537187,2.935735968
34,30/06/1972,41.07686398,10.25105,17.60614828,2.369618333,2.36112187,3.063618162
35,30/09/1972,41.57336112,10.45263274,17.60614828,2.907610922,2.293538537,3.044629594
36,31/12/1972,41.97985621,10.50502046,17.60614828,2.757066461,2.31262187,2.839215686
37,31/03/1973,42.66384572,10.60074076,16.95406872,2.59239993,2.33812187,2.629947169
38,30/06/1973,43.0059776,11.24910964,17.38878843,2.314221705,2.980288537,2.787952501
39,30/09/1973,44.11356349,11.69933741,17.71482821,2.111865143,3.962455203,2.969256626
40,31/12/1973,45.74370271,11.929128,18.4755877,2.128003877,5.077955203,3.087955182
41,31/03/1974,46.94135602,12.66596211,19.01898734,2.138196855,5.103705203,7.901260504
42,30/06/1974,48.37048395,13.66320809,21.84466546,2.143989969,5.539455203,9.282482224
43,30/09/1974,51.15144486,15.11346582,22.49674503,2.729450757,6.27187187,9.158208044
44,31/12/1974,53.53589918,15.80832844,24.77902351,4.035641031,6.28762187,8.766641547
45,31/03/1975,55.21853614,16.32097248,25.75714286,4.843052433,6.210538537,8.546022014
46,30/06/1975,57.21593943,16.25750208,26.51790235,4.798459796,6.20012187,8.622950439
47,30/09/1975,58.76127203,16.96913056,26.73526221,4.668687167,6.65637187,9.129511677
48,31/12/1975,61.00952939,17.75138646,27.16998192,5.343305802,6.61262187,9.201071249
49,31/03/1976,62.65843559,17.86041123,28.25678119,4.857129053,6.605455203,9.995194618
50,30/06/1976,63.99759226,18.55637416,28.58282098,4.50486362,6.588288537,10.46766442
51,30/09/1976,65.65135744,18.98543106,29.12622061,4.845889482,6.574455203,10.57654864
52,31/12/1976,66.91388353,19.21527651,30.32169982,4.876016164,6.70062187,12.36722899
53,31/03/1977,68.5538021,19.82933182,33.69077758,5.222539257,6.96712187,12.84731665
54,30/06/1977,70.12005767,20.26625613,34.66889693,5.65180986,6.970288537,12.95383236
55,30/09/1977,70.94017527,20.61559299,35.97305606,5.814724626,6.893455203,12.93925167
56,31/12/1977,72.33457678,21.19353803,36.08173599,5.911414644,6.323288537,12.37144667
57,31/03/1978,73.32818362,21.53650203,36.40777577,6.676664768,5.804705203,12.27431479
58,30/06/1978,74.23113419,21.36349856,37.05985533,6.259378722,5.669455203,12.10511145
59,30/09/1978,75.26691743,21.51181256,38.14665461,6.323134577,5.574205203,12.04751327
60,31/12/1978,76.71435813,21.42273347,39.34213382,6.299197107,5.36562187,12.57968108
61,31/03/1979,77.72642089,22.07077867,40.53761302,6.309062403,5.607538537,17.11197942
62,30/06/1979,79.26418333,22.11325723,42.16781193,6.316980743,6.329455203,23.7843327
63,30/09/1979,80.83766591,22.65149734,44.12405063,6.206393809,6.62137187,31.6325558
64,31/12/1979,82.29289264,22.93193518,45.64556962,6.18186842,6.633288537,35.25759632
65,31/03/1980,83.87544825,23.73682496,48.47124774,6.025947725,7.268955203,36.6149869
66,30/06/1980,85.78158868,24.54514498,49.99276673,6.227128048,8.271288537,33.079714
67,30/09/1980,87.44904938,24.95708643,50.64484629,6.130009009,8.286955203,31.02885139
68,31/12/1980,89.20052511,25.54862351,50.86220615,5.984607969,8.779288537,31.72873822
69,31/03/1981,91.43519379,26.60063918,51.73164557,5.75861232,9.54987187,33.95268102
70,30/06/1981,93.11119532,27.37940605,52.38372514,5.505053199,9.52712187,32.07946931
71,30/09/1981,95.33293747,27.64004469,51.8403255,5.82682043,11.0377052,30.41546532
72,31/12/1981,98.00332783,28.53652533,52.70976492,5.96384838,11.38162187,32.40011606
73,31/03/1982,100,30.22949467,54.77468354,6.203568854,11.3949552,30.51256189
74,30/06/1982,102.4635205,31.15067384,54.12260398,6.563114517,12.24162187,32.48075606
75,30/09/1982,105.4928061,32.88152291,56.1875226,7.106319861,12.2049552,34.92397907
76,31/12/1982,108.2829324,33.29350902,58.1437613,8.789944422,10.4849552,33.91383754
